"","GSM239371.CEL.gz","GSM239487.CEL.gz","GSM239489.CEL.gz","GSM239492.CEL.gz","GSM239497.CEL.gz","GSM239520.CEL.gz","GSM240427.CEL.gz"
"212638_s_at",512.350516753118,621.731644084828,355.971670137265,776.717819016744,356.749101645345,1018.36509880182,420.775239472162
"212639_x_at",20882.0062828664,23937.8741306808,28938.2958828738,20836.1317822381,16970.2944936911,21604.9033330871,32344.1776752196
"212640_at",892.473233080707,654.85881652666,527.056537204682,722.791136442626,437.338505468923,781.833670919962,713.325554425005
"212641_at",11.5745887229572,24.3914545259711,73.1278678413087,38.8204445165331,46.702168996633,28.5704320336225,75.7707599365375
"212642_s_at",145.468066991674,85.9257847513819,189.551674163447,119.446998076318,135.8145111713,104.175024382818,191.282205441815
"212643_at",6236.78916788053,4575.11681729106,2376.74275475792,4285.44175240513,2241.66598407127,3112.3023561417,4601.14437379028
"212644_s_at",1206.33944193613,1101.0248125514,547.861505274744,858.710623599307,493.224150964925,692.937361589973,789.878638664467
"212645_x_at",698.691271103273,888.591432802081,760.006791446076,538.924658963728,849.718673799506,4817.63371017612,1041.16671099542
"212646_at",1842.15154240716,1158.53252671784,939.553776032914,1659.95474256072,880.243338819256,1057.88934698943,3337.26372778496
"212647_at",33.5379458532364,154.576784248144,215.955691022539,18.298182305302,52.5988041234704,191.736894838793,48.3563123244517
"212648_at",353.936615691856,528.548812819605,302.122248218501,595.891219692766,374.456980283924,381.96295067037,260.947545906058
"212649_at",458.236498402352,470.088591375778,343.317449400857,427.348702743521,389.676157698092,169.687285135484,333.067554083596
"212650_at",235.08606579902,16.3949280784763,106.336010280685,225.436118062587,77.3258851656595,77.2205968925252,153.102889103146
"212651_at",122.159900617235,111.478383770321,174.677033917148,189.401529399214,228.750870860482,91.9692207098698,124.742818573482
"212652_s_at",682.316704117296,534.003808259622,585.946344677202,707.527841143423,657.452172672672,288.902789989669,397.735991454713
"212653_s_at",236.868158072775,167.884207375289,140.89676158368,389.337928005731,151.091034528318,200.750279447081,332.703170979075
"212654_at",16.5010413984804,10.9503123769126,11.9974884033394,8.03765240684419,72.0345529263094,12.1729519423769,6.39340005126737
"212655_at",60.3475903018427,91.6771739100642,66.0754698080571,74.1218697094765,146.98961914654,98.2578138618975,332.938535296236
"212656_at",443.476668679406,614.464263949474,579.671927930113,303.800003540312,577.440445425465,422.797610622932,590.408592403427
"212657_s_at",122.871260348108,1053.46501611908,561.30279966782,236.26978767814,639.531649275018,1041.43969143682,485.953002902274
"212658_at",460.613079194338,346.938752560108,639.784744841897,506.345701459864,605.014041008078,369.489861919465,444.249635445002
